Variety,Domaine,Plot,N-tester_beginning_August,Fertility,Cover_Cropping,07.Jun,27.Jun,17.Jul,09.Aug,23.Aug,Berry_Weight,Wood_Weight,M_Brix,M_Oe_Refr,M_D20/20,M_Oe D20/20,M_Extr,M_pH,M_AT,M_Tart,M_Mal,M_Lact,M_NH3,M_N-amino,M_Nass,M_Glyc,M_Glu,M_Fru,M_GreyRotB,M_AcRot,NH3_SEQ,N-amino SEQ,N_Assim SEQ,K_SEQ
Pinot noir,réseau VS,Mart_3,512,1.26,1,,,,-3.0,,1.076666667,38.38,19.4,80.3,1.08269,82.7,216.1,3.41,5.1,4.7,2.9,0.62,56.9,92.6,139.5,0.3,101.1,105.4,11,19,33.8,87.5,115.3,1497
Pinot noir,réseau VS,Mart_6,393,0.992424242,3,,-1.3,-2.0,-4.2,-5.3,1.673333333,30.24,20.6,85.4,1.08779,87.8,229.6,3.27,6.2,5,3.1,0.61,44.9,55.1,92.1,0.6,106.8,108.4,24,23,22.6,38.7,57.3,1216
Pinot noir,réseau VS,Miege_2,595,1.615384615,2,-2.5,-1.9,-3.4,-3.4,-4.6,1.7,29.55,21.5,89.7,1.09198,92,240.7,3.28,6.2,5.7,2.8,0.45,100.3,139,221.6,0.6,111.8,116.5,24,17,93.7,145.8,223,1150
Pinot noir,réseau VS,Miège_3,627,1.339506173,3,,-2.3,-1.9,-4.0,-4.0,1.383333333,49.86,17.7,72.6,1.0751,75.1,196.1,3.11,8.3,6.4,3.9,0.01,97.9,74.2,154.8,0.8,86.5,91.2,48,19,79.1,88.2,153.3,1296
Pinot noir,réseau VS,Muraz_1,561,1.691666667,3,-2.1,-3.5,-4.3,-4.8,-7.5,1.296666667,43.90,21.8,91,1.09348,93.5,244.7,3.34,4.4,5.9,0.6,0.26,65.5,88.7,142.7,0.9,109.3,118.5,51,23,36.1,87.1,116.8,1437
Pinot noir,réseau VS,Muraz_3,668,1.975,3,,,,-5.8,-6.0,1.216666667,37.75,20.4,84.8,1.08709,87.1,227.7,3.38,5.2,5,2.5,0.54,86.5,140.2,211.5,0.4,105.4,111.8,14,17,70.8,145.5,203.8,1303
Pinot noir,réseau VS,Pinède_1,558,1.650793651,2,,,,-1.5,,1.896666667,45.46,20.7,85.9,1.08829,88.3,230.9,3.34,6.5,5.5,3.4,0.52,111.9,174.3,266.4,0.5,104.9,112,17,15,97.4,178.6,258.8,1429
Pinot noir,réseau VS,Praviriaz,631,1.452736318,2,,,,-4.9,,1.04,31.68,18.9,77.9,1.08,80,209,3.42,5.2,5.4,2.5,0.44,85,152.4,222.5,0.4,95.7,102.8,12,15,73.7,148.5,209.2,1373
Pinot noir,réseau VS,Réchy,591,1.63,2,,,,-1.9,,1.05,48.09,17.6,72.6,1.075,75,195.8,3.44,8.7,6,6.1,0.46,159.6,249.1,380.5,0.3,87.5,92.6,3,5,140.7,244.4,360.3,1818
Pinot noir,réseau VS,Riddes_1,524,1.794701987,2,-1.0,-1.6,-1.0,-2.9,-4.4,1.73,38.80,17.2,70.5,1.07291,72.9,190.3,3.23,7.6,5.1,4.6,0.56,69.6,83.7,141,0.3,86.1,91.7,25,15,41.5,81.9,116.1,1351
Pinot noir,réseau VS,Saillon,530,1.198529412,1,,,,-5.0,,1.376666667,37.69,19.9,82.3,1.08489,84.9,221.9,3.49,5,4.4,3.1,0.79,79.5,172.7,238.2,0.4,101.1,108.3,0,15,60.7,167.6,217.6,1511
Pinot noir,réseau VS,Salg_1,724,1.712,1,,,,-4.6,,1.086666667,50.36,20,82.9,1.08489,84.9,221.9,3.31,5.3,6,1.7,0.44,98.5,145.9,227,0.4,100.3,109.9,18,17,79.7,146.6,212.2,1222
Pinot noir,réseau VS,Salg_3,633,1.582089552,3,-1.3,-2.5,-3.5,-4.0,-6.9,1.103333333,,18.8,77.5,1.0798,79.8,208.5,3.62,4.5,4.7,2.7,0.6,71.8,159.2,218.3,0.3,94.8,102.6,1,14,60.4,154.1,203.8,1643
Pinot noir,réseau VS,Sav_1,673,1.73553719,1,,,,-1.7,,1.286666667,50.08,18.6,76.7,1.079,79,206.3,3.2,7.7,5.7,4.2,0.53,81.4,125.6,192.6,0.4,94.5,98.5,19,15,69.8,133.3,190.8,1330
Pinot noir,réseau VS,Sav_3,450,1.75,3,-2.0,-4.3,-1.3,-3.2,-6.8,1.423333333,26.67,19,78.4,1.0808,80.8,211.1,3.21,6.7,5.5,3.2,0.6,40.7,58.2,91.7,0.4,97.3,101.9,21,19,20.7,48.3,65.3,1273
Pinot noir,réseau VS,Saxon_1,588,1.955465587,2,,,,-2.4,,1.123333333,49.99,18.8,77.7,1.08,80,209,3.32,6.3,5.5,3.2,0.57,102.4,176.8,261.1,0.3,93.1,102.8,13,14,85.8,177.9,248.6,1346
Pinot noir,réseau VS,Sierre_2,656,1.157407407,3,-2.9,-3.6,-5.2,-5.5,-7.0,1.44,38.98,21.4,89.1,1.09128,91.3,238.8,3.44,4.6,5.9,1.3,0.51,89.1,174.4,247.8,0.6,107.8,117.4,19,19,55.8,176.3,222.3,1283
Pinot noir,réseau VS,Sierre_3,598,1.559440559,1,,,,-4.6,,1.283333333,33.71,20.3,84.2,1.08639,86.4,225.9,3.5,5,4.8,2.8,0.53,79.7,137.5,203.2,0.4,103.7,110.6,8,16,61.3,139.1,189.6,1383
Pinot noir,réseau VS,Sion_2,602,1.454054054,2,,,,-3.5,,1.38,34.35,19.5,80.5,1.08279,82.8,216.4,3.4,5.3,5,2.7,0.56,86.5,158.2,229.5,0.4,98.9,106.8,8,15,64.4,156.9,209.9,1364
Pinot noir,réseau VS,Stalden_1,578,1.401869159,3,,,,-3.8,,1.173333333,32.89,18,74.1,1.0761,76.1,198.7,3.1,8.6,6.9,3.8,0.64,85.9,95.5,166.2,0.2,88.8,96.8,23,12,55.5,93.4,139.1,1139
Pinot noir,réseau VS,StMau,419,1.363128492,3,,,,-1.8,,1.006666667,30.26,18.3,75.5,1.0778,77.8,203.2,3.14,7.6,5.9,3.8,0.56,49,51.9,92.2,0.2,94.8,96.8,27,16,21.7,57.8,75.7,1296
Pinot noir,réseau VS,Valençon,585,1.266055046,3,-1.4,-3.0,-4.8,-5.8,-8.0,1.36,44.42,22,92,1.09428,94.3,246.8,3.34,5,5.2,1.8,0.72,73.7,116.6,177.3,0.4,114.4,119.9,17,20,47.3,109,148,1176
Pinot noir,réseau VS,Var_2,615,1.328767123,3,,,,-6.6,-9.6,1.24,28.64,20.6,85.8,1.08799,88,230.1,3.22,5.9,6.7,1.5,0.36,98.4,140.5,221.5,0.5,103.5,113.3,21,16,82.8,148.3,216.5,1071
Pinot noir,réseau VS,Venth_1,630,1.204918033,3,-2.7,-2.4,-2.5,-3.5,-2.9,1.563333333,44.74,20.8,86.5,1.08908,89.1,233,3.4,5.3,4.3,3.4,0.71,65.4,138.1,192,0.5,108.1,113.4,8,17,60,155.3,204.7,1492
Pinot noir,réseau VS,Venth_2,590,1.237410072,2,,,,-3.1,,1.41,31.64,20.2,83.8,1.08609,86.1,225.1,3.31,5.5,5.6,2.2,0.38,71,94.4,152.9,0.3,104.6,110.3,25,18,47.1,94.9,133.7,1274
Pinot noir,réseau VS,Vétroz_2,584,1.592307692,2,,,,-6.2,-3.5,1.36,49.71,20,82.8,1.08529,85.3,223,3.48,5.7,5,3.4,0.6,91,174.3,249.2,0.4,100.9,108.6,4,14,81.5,185.8,252.9,1574
Pinot noir,réseau VS,Vétroz_3,586,1.54676259,2,,,,-2.7,,1.326666667,48.10,19.8,82,1.08439,84.4,220.6,3.51,4.5,4.4,2.6,0.63,70.4,149.9,207.9,0.4,101.4,108.4,2,16,55.3,150.4,195.9,1532
Pinot noir,réseau VS,Visp_1,615,1.71875,2,,,,-2.6,,1.276666667,38.55,19.9,82.5,1.08469,84.7,221.4,3.12,7.1,7.6,2,0.23,125.5,116.9,220.2,0.4,98.2,108.4,36,18,105.9,120.1,207.3,1134
Pinot noir,réseau VS,Visp_2,622,1.254545455,2,,,,-1.7,,1.443333333,35.14,20.2,84,1.08649,86.5,226.2,3.28,6.4,4.9,3.8,0.59,75.3,108.8,170.8,0.4,104.8,110.2,15,17,51.1,121.1,163.2,1327
