ID,Plot_Rep,Plot_No,Year,Month,Day,Date,Pheno_Stage,Brix_degree,Tartrate_gL,Malate_gL,Glucose_gL,Fructose_gL,Comments
Plot_14_2023-08-24,14,14,2023,08,24,2023-08-24,Veraison,19.4,1.647,0.037,20.807,20.396,
Plot_15_2023-08-24,15,15,2023,08,24,2023-08-24,Veraison,14.2,2.149,0.065,16.411,16.062,
Plot_17_2023-08-24,17,17,2023,08,24,2023-08-24,Veraison,13.2,1.32,0.079,18.362,18.338,
Plot_19_2023-08-24,19,19,2023,08,24,2023-08-24,Veraison,18.2,1.35,0.083,15.585,15.190,
Plot_20_2023-08-24,20,20,2023,08,24,2023-08-24,Veraison,14,1.505,0.090,22.676,22.534,
Plot_12A_2023-09-20,12A,12,2023,09,20,2023-09-20,Harvest,18.8,1.763,0.119,24.499,25.947,
Plot_12B_2023-09-20,12B,12,2023,09,20,2023-09-20,Harvest,17.2,1.735,0.115,16.551,18.103,
Plot_12C_2023-09-20,12C,12,2023,09,20,2023-09-20,Harvest,17.6,1.473,0.072,16.872,18.455,
Plot_12D_2023-09-20,12D,12,2023,09,20,2023-09-20,Harvest,18.8,1.559,0.078,20.563,21.909,
Plot_12E_2023-09-20,12E,12,2023,09,20,2023-09-20,Harvest,18,1.299,0.070,18.103,18.813,
Plot_13A_2023-09-20,13A,13,2023,09,20,2023-09-20,Harvest,17.2,1.566,0.088,19.257,20.172,
Plot_13B_2023-09-20,13B,13,2023,09,20,2023-09-20,Harvest,19,1.586,0.082,20.403,21.771,
Plot_13C_2023-09-20,13C,13,2023,09,20,2023-09-20,Harvest,16.6,1.326,0.079,15.647,16.664,
Plot_13D_2023-09-20,13D,13,2023,09,20,2023-09-20,Harvest,17,1.958,0.099,15.947,17.511,
Plot_13E_2023-09-20,13E,13,2023,09,20,2023-09-20,Harvest,17.4,1.617,0.065,18.505,19.907,
Plot_14A_2023-09-20,14A,14,2023,09,20,2023-09-20,Harvest,17,1.855,0.161,16.870,19.923,
Plot_14B_2023-09-20,14B,14,2023,09,20,2023-09-20,Harvest,20.6,1.714,0.088,22.829,23.620,
Plot_14C_2023-09-20,14C,14,2023,09,20,2023-09-20,Harvest,19.2,1.696,0.064,21.296,22.517,
Plot_14D_2023-09-20,14D,14,2023,09,20,2023-09-20,Harvest,21,1.636,0.068,21.653,22.806,
Plot_14E_2023-09-20,14E,14,2023,09,20,2023-09-20,Harvest,18.4,1.839,0.066,20.819,22.231,
Plot_15A_2023-09-20,15A,15,2023,09,20,2023-09-20,Harvest,16.2,1.863,0.136,15.362,17.880,
Plot_15B_2023-09-20,15B,15,2023,09,20,2023-09-20,Harvest,16.4,1.747,0.085,16.789,17.810,
Plot_15C_2023-09-20,15C,15,2023,09,20,2023-09-20,Harvest,17.2,1.299,0.063,16.603,17.673,
Plot_15D_2023-09-20,15D,15,2023,09,20,2023-09-20,Harvest,19.8,1.506,0.122,18.503,19.573,
Plot_15E_2023-09-20,15E,15,2023,09,20,2023-09-20,Harvest,17.4,1.070,0.055,18.511,19.582,
Plot_17A_2023-09-20,17A,17,2023,09,20,2023-09-20,Harvest,19.8,1.134,0.089,21.808,23.374,
Plot_17B_2023-09-20,17B,17,2023,09,20,2023-09-20,Harvest,18.2,1.496,0.097,16.386,18.247,
Plot_17C_2023-09-20,17C,17,2023,09,20,2023-09-20,Harvest,18.6,1.291,0.104,18.663,20.781,
Plot_17D_2023-09-20,17D,17,2023,09,20,2023-09-20,Harvest,16.2,1.120,0.085,17.153,18.839,
Plot_17E_2023-09-20,17E,17,2023,09,20,2023-09-20,Harvest,17,1.051,0.083,16.540,18.276,
Plot_19A_2023-09-20,19A,19,2023,09,20,2023-09-20,Harvest,16,1.406,0.077,15.606,16.871,
Plot_19B_2023-09-20,19B,19,2023,09,20,2023-09-20,Harvest,18,1.597,0.092,16.266,18.164,
Plot_19C_2023-09-20,19C,19,2023,09,20,2023-09-20,Harvest,16.2,1.394,0.051,15.040,15.959,
Plot_19D_2023-09-20,19D,19,2023,09,20,2023-09-20,Harvest,17.8,1.320,0.057,15.756,16.694,
Plot_19E_2023-09-20,19E,19,2023,09,20,2023-09-20,Harvest,16,1.467,0.055,14.048,14.997,
Plot_20A_2023-09-20,20A,20,2023,09,20,2023-09-20,Harvest,19.8,1.294,0.087,18.433,19.855,
Plot_20B_2023-09-20,20B,20,2023,09,20,2023-09-20,Harvest,19,1.952,0.142,16.393,19.121,
Plot_20C_2023-09-20,20C,20,2023,09,20,2023-09-20,Harvest,17.8,1.763,0.083,17.150,18.682,
Plot_20D_2023-09-20,20D,20,2023,09,20,2023-09-20,Harvest,18.2,1.690,0.119,16.293,18.780,
Plot_20E_2023-09-20,20E,20,2023,09,20,2023-09-20,Harvest,19.8,1.851,0.105,19.931,20.718,
Plot_4A_2023-09-20,4A,4,2023,09,20,2023-09-20,Harvest,18.6,1.453,0.055,18.245,20.139,
Plot_4B_2023-09-20,4B,4,2023,09,20,2023-09-20,Harvest,19.4,1.316,0.064,19.902,21.670,
Plot_4C_2023-09-20,4C,4,2023,09,20,2023-09-20,Harvest,16.2,1.508,0.072,15.026,17.469,
Plot_4D_2023-09-20,4D,4,2023,09,20,2023-09-20,Harvest,17.2,1.664,0.078,17.340,19.331,
Plot_4E_2023-09-20,4E,4,2023,09,20,2023-09-20,Harvest,18.6,1.566,0.086,18.375,20.371,
Plot_5A_2023-09-20,5A,5,2023,09,20,2023-09-20,Harvest,16.2,1.675,0.000,16.789,17.887,Malate below detection limit
Plot_5B_2023-09-20,5B,5,2023,09,20,2023-09-20,Harvest,17.4,1.630,0.075,18.901,20.944,
Plot_5C_2023-09-20,5C,5,2023,09,20,2023-09-20,Harvest,18.6,1.153,0.064,20.444,22.760,
Plot_5D_2023-09-20,5D,5,2023,09,20,2023-09-20,Harvest,16.6,1.168,0.072,18.327,20.670,
Plot_5E_2023-09-20,5E,5,2023,09,20,2023-09-20,Harvest,17,2.174,0.103,18.703,21.114,
Plot_9A_2023-09-20,9A,9,2023,09,20,2023-09-20,Harvest,18.8,1.459,0.084,22.202,23.599,
Plot_9B_2023-09-20,9B,9,2023,09,20,2023-09-20,Harvest,17.2,1.160,0.075,19.577,20.575,
Plot_9C_2023-09-20,9C,9,2023,09,20,2023-09-20,Harvest,18.4,1.339,0.093,20.336,21.589,
Plot_9D_2023-09-20,9D,9,2023,09,20,2023-09-20,Harvest,15.4,1.597,0.065,17.451,18.145,
Plot_9E_2023-09-20,9E,9,2023,09,20,2023-09-20,Harvest,18,1.541,0.077,21.745,22.969,
